timebin,sid,sequence,use,group
3,8580120,CPTs,0,HH
0,8580120,CTcCTcP,0,HH
1,8580120,CTcCTcP,0,HH
2,8580120,CTcCTcP,0,HH
3,8580120,CTcCTcP,0,HH
0,8580120,CTsCTs,0,HH
1,8580120,CTsCTs,0,HH
2,8580120,CTsCTs,0,HH
3,8580120,CTsCTs,0,HH
0,8580120,CTsPC,0,HH
1,8580120,CTsPC,0,HH
2,8580120,CTsPC,1,HH
3,8580120,CTsPC,1,HH
0,8580120,PCTbP,1,HH
1,8580120,PCTbP,0,HH
2,8580120,PCTbP,0,HH
3,8580120,PCTbP,0,HH
0,8580120,PTcC,0,HH
1,8580120,PTcC,0,HH
2,8580120,PTcC,0,HH
3,8580120,PTcC,0,HH
0,8580120,PTcCTc,0,HH
1,8580120,PTcCTc,0,HH
2,8580120,PTcCTc,0,HH
3,8580120,PTcCTc,0,HH
0,8580120,PTsP,1,HH
1,8580120,PTsP,1,HH
2,8580120,PTsP,1,HH
3,8580120,PTsP,0,HH
0,8580120,PTsPC,0,HH
1,8580120,PTsPC,1,HH
2,8580120,PTsPC,1,HH
3,8580120,PTsPC,0,HH
0,8580120,TbPCP,0,HH
1,8580120,TbPCP,0,HH
2,8580120,TbPCP,0,HH
3,8580120,TbPCP,0,HH
0,8580120,TcCPC,0,HH
1,8580120,TcCPC,0,HH
2,8580120,TcCPC,0,HH
3,8580120,TcCPC,0,HH
0,8775127,CPCPCP,0,LH
1,8775127,CPCPCP,0,LH
2,8775127,CPCPCP,0,LH
3,8775127,CPCPCP,0,LH
0,8775127,CPCPCPC,0,LH
1,8775127,CPCPCPC,0,LH
2,8775127,CPCPCPC,0,LH
3,8775127,CPCPCPC,0,LH
0,8775127,CPCTcC,0,LH
1,8775127,CPCTcC,0,LH
2,8775127,CPCTcC,0,LH
3,8775127,CPCTcC,0,LH
0,8775127,CPCTs,0,LH
1,8775127,CPCTs,0,LH
2,8775127,CPCTs,0,LH
3,8775127,CPCTs,0,LH
0,8775127,CPTs,0,LH
1,8775127,CPTs,0,LH
2,8775127,CPTs,0,LH
3,8775127,CPTs,0,LH
0,8775127,CTcCTcP,0,LH
1,8775127,CTcCTcP,0,LH
2,8775127,CTcCTcP,0,LH
3,8775127,CTcCTcP,0,LH
0,8775127,CTsCTs,0,LH
1,8775127,CTsCTs,0,LH
2,8775127,CTsCTs,0,LH
3,8775127,CTsCTs,0,LH
0,8775127,CTsPC,1,LH
1,8775127,CTsPC,0,LH
2,8775127,CTsPC,0,LH
3,8775127,CTsPC,0,LH
0,8775127,PCTbP,0,LH
1,8775127,PCTbP,0,LH
2,8775127,PCTbP,0,LH
3,8775127,PCTbP,0,LH
0,8775127,PTcC,0,LH
1,8775127,PTcC,1,LH
2,8775127,PTcC,1,LH
3,8775127,PTcC,0,LH
0,8775127,PTcCTc,0,LH
1,8775127,PTcCTc,1,LH
2,8775127,PTcCTc,0,LH
3,8775127,PTcCTc,0,LH
0,8775127,PTsP,0,LH
1,8775127,PTsP,0,LH
2,8775127,PTsP,1,LH
3,8775127,PTsP,0,LH
0,8775127,PTsPC,0,LH
1,8775127,PTsPC,0,LH
2,8775127,PTsPC,0,LH
3,8775127,PTsPC,0,LH
0,8775127,TbPCP,0,LH
1,8775127,TbPCP,0,LH
2,8775127,TbPCP,0,LH
3,8775127,TbPCP,0,LH
0,8775127,TcCPC,0,LH
1,8775127,TcCPC,0,LH
2,8775127,TcCPC,0,LH
3,8775127,TcCPC,1,LH
0,8889108,CPCPCP,0,LL
1,8889108,CPCPCP,0,LL
2,8889108,CPCPCP,0,LL
3,8889108,CPCPCP,0,LL
0,8889108,CPCPCPC,0,LL
1,8889108,CPCPCPC,0,LL
2,8889108,CPCPCPC,0,LL
3,8889108,CPCPCPC,0,LL
0,8889108,CPCTcC,0,LL
1,8889108,CPCTcC,0,LL
2,8889108,CPCTcC,0,LL
3,8889108,CPCTcC,0,LL
0,8889108,CPCTs,0,LL
1,8889108,CPCTs,0,LL
2,8889108,CPCTs,0,LL
3,8889108,CPCTs,0,LL
0,8889108,CPTs,0,LL
1,8889108,CPTs,0,LL
2,8889108,CPTs,0,LL
3,8889108,CPTs,0,LL
0,8889108,CTcCTcP,0,LL
1,8889108,CTcCTcP,0,LL
2,8889108,CTcCTcP,0,LL
3,8889108,CTcCTcP,0,LL
0,8889108,CTsCTs,0,LL
1,8889108,CTsCTs,0,LL
2,8889108,CTsCTs,0,LL
3,8889108,CTsCTs,0,LL
0,8889108,CTsPC,0,LL
1,8889108,CTsPC,0,LL
2,8889108,CTsPC,0,LL
3,8889108,CTsPC,0,LL
0,8889108,PCTbP,0,LL
1,8889108,PCTbP,0,LL
2,8889108,PCTbP,0,LL
3,8889108,PCTbP,0,LL
0,8889108,PTcC,0,LL
1,8889108,PTcC,0,LL
2,8889108,PTcC,1,LL
3,8889108,PTcC,0,LL
0,8889108,PTcCTc,0,LL
1,8889108,PTcCTc,0,LL
2,8889108,PTcCTc,0,LL
3,8889108,PTcCTc,0,LL
0,8889108,PTsP,0,LL
1,8889108,PTsP,0,LL
2,8889108,PTsP,0,LL
3,8889108,PTsP,0,LL
0,8889108,PTsPC,0,LL
