timebin,sid,sequence,use,group
3,8580120,CTbP,0,HH
0,8580120,CTbPC,1,HH
1,8580120,CTbPC,0,HH
2,8580120,CTbPC,0,HH
3,8580120,CTbPC,0,HH
0,8580120,CTcPTcP,0,HH
1,8580120,CTcPTcP,0,HH
2,8580120,CTcPTcP,0,HH
3,8580120,CTcPTcP,0,HH
0,8580120,CTsCTs,0,HH
1,8580120,CTsCTs,0,HH
2,8580120,CTsCTs,0,HH
3,8580120,CTsCTs,0,HH
0,8580120,PCTbP,1,HH
1,8580120,PCTbP,0,HH
2,8580120,PCTbP,0,HH
3,8580120,PCTbP,0,HH
0,8580120,PCTsP,1,HH
1,8580120,PCTsP,1,HH
2,8580120,PCTsP,1,HH
3,8580120,PCTsP,0,HH
0,8580120,PTb,1,HH
1,8580120,PTb,0,HH
2,8580120,PTb,0,HH
3,8580120,PTb,0,HH
0,8580120,PTsPC,0,HH
1,8580120,PTsPC,1,HH
2,8580120,PTsPC,1,HH
3,8580120,PTsPC,0,HH
0,8580120,TbCP,0,HH
1,8580120,TbCP,0,HH
2,8580120,TbCP,0,HH
3,8580120,TbCP,0,HH
0,8580120,TbP,1,HH
1,8580120,TbP,0,HH
2,8580120,TbP,0,HH
3,8580120,TbP,0,HH
0,8580120,TbPC,1,HH
1,8580120,TbPC,0,HH
2,8580120,TbPC,0,HH
3,8580120,TbPC,0,HH
0,8580120,TbPCP,0,HH
1,8580120,TbPCP,0,HH
2,8580120,TbPCP,0,HH
3,8580120,TbPCP,0,HH
0,8775127,CPCTs,0,LH
1,8775127,CPCTs,0,LH
2,8775127,CPCTs,0,LH
3,8775127,CPCTs,0,LH
0,8775127,CPTs,0,LH
1,8775127,CPTs,0,LH
2,8775127,CPTs,0,LH
3,8775127,CPTs,0,LH
0,8775127,CTbC,0,LH
1,8775127,CTbC,0,LH
2,8775127,CTbC,0,LH
3,8775127,CTbC,0,LH
0,8775127,CTbP,0,LH
1,8775127,CTbP,0,LH
2,8775127,CTbP,1,LH
3,8775127,CTbP,0,LH
0,8775127,CTbPC,0,LH
1,8775127,CTbPC,0,LH
2,8775127,CTbPC,1,LH
3,8775127,CTbPC,0,LH
0,8775127,CTcPTcP,0,LH
1,8775127,CTcPTcP,0,LH
2,8775127,CTcPTcP,0,LH
3,8775127,CTcPTcP,0,LH
0,8775127,CTsCTs,0,LH
1,8775127,CTsCTs,0,LH
2,8775127,CTsCTs,0,LH
3,8775127,CTsCTs,0,LH
0,8775127,PCTbP,0,LH
1,8775127,PCTbP,0,LH
2,8775127,PCTbP,0,LH
3,8775127,PCTbP,0,LH
0,8775127,PCTsP,0,LH
1,8775127,PCTsP,0,LH
2,8775127,PCTsP,0,LH
