File name,verified student ID,activity,order,use?
2013-03-18_11-22-41_89pvauhne8vu9b49ufu7tv032u_s27ju6r2p9qe6rltuif1fcfgqqf.txt',41295172,1-2-3 all,1,
2013-07-11_13-14-59_mqen1n0cuec20krsm433r9bd8a_sh0o3vl6ks1e1rhro5fqjvsvk05.txt',42175126,1 light bulbs,1,
2013-07-11_14-01-51_mqen1n0cuec20krsm433r9bd8a_s49dkmifsh7v91hhjnn6aglrqs3.txt',42175126,2-3 resistor-puzzle,2,
2013-07-12_09-46-24_4leaenp6iht6jkbgjjcsqbjto6_sgl15gg30f9qhiir3eb1oivda7i.txt',42822113,1 light bulbs,1,
2013-07-12_10-28-01_4leaenp6iht6jkbgjjcsqbjto6_san130pj0o9gdskm8g3g1iltf3j.txt',42822113,2 resistor,2,
2013-07-12_11-01-00_4leaenp6iht6jkbgjjcsqbjto6_sordkngos4itjsngpfsokihfa15.txt',42822113,3 puzzle,3,ignore - too short
2013-07-10_10-14-24_q9g3p5fjj17mdjlq4otd6jl62a_shmoqr46dshq7ilcups5ft1pjae.txt',43999105,1 light bulbs,1,
2013-07-10_11-00-51_q9g3p5fjj17mdjlq4otd6jl62a_seklhvod6elahbbe7jhu630au9o.txt',43999105,2-3 resistor-puzzle,2,
2013-07-10_10-14-31_oafhlm7aonr6aefotnbig9i3ib_sgcvd4vviev009rf61qj1duh2dn.txt',44827119,1 light bulbs,1,
2013-07-10_11-00-27_oafhlm7aonr6aefotnbig9i3ib_s476m88e4kdnidjcq2sfqmhmv0s.txt',44827119,2 resistor,2,ignore - too short
2013-07-10_11-02-51_oafhlm7aonr6aefotnbig9i3ib_s468q55f0eaeg5gfs5in54u6pr5.txt',44827119,2-3 resistor-puzzle,3,
2013-07-10_10-14-47_cdherh4ms6st7m0anpv52f6dr1_sf5ou3namfrdkscpk2j6ja1v39r.txt',46231117,1 light bulbs,1,ignore - empty file
2013-07-10_10-15-48_cdherh4ms6st7m0anpv52f6dr1_sni41qkd7f9uglc6hah1880v4si.txt',46231117,1 light bulbs,2,
2013-07-10_11-02-40_cdherh4ms6st7m0anpv52f6dr1_s5r6lm13vcdkdapqa16b06fml9h.txt',46231117,2 resistor,3,
2013-07-10_11-24-26_cdherh4ms6st7m0anpv52f6dr1_sh5t9sesqd26rv8n59tagn98vuj.txt',46231117,3 puzzle,4,
2013-07-11_13-16-13_o95op56oo2j3tc4b77bqb0pdh3_sp2thvkdos79t64vpro0hr23t9s.txt',48107113,1 light bulbs,1,
2013-07-11_13-20-41_o95op56oo2j3tc4b77bqb0pdh3_smnqakloj7u27stu339b616b5d8.txt',48107113,1 light bulbs,2,drop first two minutes
2013-07-11_14-00-05_o95op56oo2j3tc4b77bqb0pdh3_smcupbmk4lqhbrabpf21ratc3t5.txt',48107113,2 resistor,3,
2013-07-11_14-25-34_o95op56oo2j3tc4b77bqb0pdh3_sag3uce2s5atokmjh9lm4v4u0br.txt',48107113,3 puzzle,4,
2013-03-22_11-53-24_89pvauhne8vu9b49ufu7tv032u_sakvtmia4ffpeebkog80l7d1hr2.txt',51086123,1 light bulbs,1,
2013-03-22_12-40-12_89pvauhne8vu9b49ufu7tv032u_sgb1l24i0rjh9om7v4416ub20hv.txt',51086123,2-3 resistor-puzzle,2,
2013-03-15_10-20-47_89pvauhne8vu9b49ufu7tv032u_sth21h6tiq2suee395p0ti014s.txt',51352592,1-2-3 all,1,
2013-07-10_10-14-24_fvu9sk2k96h08428rli8b7s0hj_sk98pal0g8mqkabpg9qv6qq40b3.txt',51876107,1 light bulbs,1,
2013-07-10_11-00-22_fvu9sk2k96h08428rli8b7s0hj_svcjmn60106t0agl7p798l9vcad.txt',51876107,2-3 resistor-puzzle,2,
2013-07-12_09-46-24_d7ansveklbidu8f8p12rrh014q_svhpqed429t2lt3d71pidj9rjro.txt',52041105,1 light bulbs,1,
2013-07-12_10-27-44_d7ansveklbidu8f8p12rrh014q_sfp2121ski2frhf5jfsooc97bgo.txt',52041105,2-3 resistor-puzzle,2,
2013-03-18_11-20-57_89pvauhne8vu9b49ufu7tv032u_sdnfb920hl0u7vr8kt5p128q6n4.txt',55188124,1-2-3 all,1,
2013-07-09_14-18-25_q9g3p5fjj17mdjlq4otd6jl62a_s2mte58m5305d63mbsjqnhrb7fa.txt',57521121,1 light bulbs,1,
2013-07-09_15-00-08_q9g3p5fjj17mdjlq4otd6jl62a_s7u2m8rrc8i66kq4ldsj3di1399.txt',57521121,2-3 resistor-puzzle,2,
2013-03-22_11-52-18_89pvauhne8vu9b49ufu7tv032u_spqdr8di7oc0afohtfs243v91q8.txt',59553121,1 light bulbs,1,ignore - empty file
2013-03-22_11-53-32_89pvauhne8vu9b49ufu7tv032u_s2kkl56dt1kpu1u4o4qr99ekfr6.txt',59553121,1 light bulbs,2,
2013-03-22_12-38-50_89pvauhne8vu9b49ufu7tv032u_sre7pajvaabgekash57b5mvk9m.txt',59553121,2-3 resistor-puzzle,3,
2013-03-20_16-22-09_od61k45b3o1oflrel3dkm8ign1_slgjodr1rkppqc0dornp6ctceo3.txt',60076128,1 light bulbs,1,
2013-03-20_17-05-58_od61k45b3o1oflrel3dkm8ign1_sv0p72af1argf4n4m1jej522pkc.txt',60076128,2 resistor,2,
2013-03-20_17-16-08_od61k45b3o1oflrel3dkm8ign1_s1qr67p6ivfd8tbus0onon2tdi1.txt',60076128,2-3 resistor-puzzle,3,
2013-03-21_10-24-14_89pvauhne8vu9b49ufu7tv032u_s1ef0me9ij0beh28g00mss1sjo7.txt',61117124,1 light bulbs,1,
2013-03-21_11-08-42_89pvauhne8vu9b49ufu7tv032u_s9dgsdnhqkv60f2nrn5tmvhiv0q.txt',61117124,2-3 resistor-puzzle,2,
2002-05-08_03-18-38_89pvauhne8vu9b49ufu7tv032u_s9mnp65voj0uahq3el7cgg7va0.txt',61296129,1 light bulbs,1,
2002-05-08_03-50-36_89pvauhne8vu9b49ufu7tv032u_s8o8sgcc46qo0egfkubiv8k7soa.txt',61296129,2 resistor,2,
2002-05-08_04-21-43_89pvauhne8vu9b49ufu7tv032u_sq82droqolgplr5ng830igdl5hg.txt',61296129,3 puzzle,3,
2013-03-22_11-37-41_89pvauhne8vu9b49ufu7tv032u_sgofh5ntbm8cvf9vg54u0698smh.txt',62238125,1 light bulbs,1,ignore - too short
2013-03-22_11-53-55_89pvauhne8vu9b49ufu7tv032u_s200b303r5fve0qj3l6b7iv3adv.txt',62238125,1 light bulbs,2,
2013-03-22_12-38-58_89pvauhne8vu9b49ufu7tv032u_s5vd40fbqajkivcjlorhf52cf6q.txt',62238125,2-3 resistor-puzzle,3,
2013-07-11_13-14-45_fej9o576k2jo89iqb87f15572g_sa01apbp7v19hkv6f2e4q3jnr6n.txt',62898116,1 light bulbs,1,
2013-07-11_13-59-27_fej9o576k2jo89iqb87f15572g_sad2p9k8lbakpc0kcf7ob1qfmf.txt',62898116,2 resistor,2,
2013-07-11_14-24-35_fej9o576k2jo89iqb87f15572g_ses75i9pop3a42h12cgtkctstv1.txt',62898116,3 puzzle,3,ignore - too short
2013-07-11_14-29-00_fej9o576k2jo89iqb87f15572g_sfsv0ebr281gd3k07hv9nvev9lq.txt',62898116,3 puzzle,4,ignore - too short
2013-03-18_11-22-16_89pvauhne8vu9b49ufu7tv032u_sr89iqrur6m8be56hdc1i6cn80.txt',62935112,1-2-3 all,1,
2013-03-18_11-21-03_89pvauhne8vu9b49ufu7tv032u_sjogq5eqq441pfl2ec6g2elq5i7.txt',64153126,1-2-3 all,1,
2013-07-10_10-14-18_mqen1n0cuec20krsm433r9bd8a_srhhjg0s1cbd17oh2veolhnaa2n.txt',64687090,1 light bulbs,1,
2013-07-10_11-01-50_mqen1n0cuec20krsm433r9bd8a_s97clq7gj3cnjb3qirsgs5457kb.txt',64687090,2 resistor,2,ignore - too short
2013-07-10_11-02-58_mqen1n0cuec20krsm433r9bd8a_simja1ui4gralgvsmcfh3ah9s6a.txt',64687090,2 resistor,3,
2013-07-10_11-09-52_mqen1n0cuec20krsm433r9bd8a_sot6g9h9b781lljvejr8i0mghle.txt',64687090,2 resistor,4,
2013-07-10_11-45-27_mqen1n0cuec20krsm433r9bd8a_satd8mil2ss6k7rsl6lo73g3sob.txt',64687090,3 puzzle,5,ignore - too short
2013-03-20_16-22-52_89pvauhne8vu9b49ufu7tv032u_sinc2auumppjnruj8tet0s06qfr.txt',64944126,1 light bulbs,1,
2013-03-20_16-54-50_89pvauhne8vu9b49ufu7tv032u_s6a5fgm8svph3aonks5q886hgdc.txt',64944126,2 resistor,2,
2013-03-20_17-14-44_89pvauhne8vu9b49ufu7tv032u_sphl2delngub1a911hn9pm6lkfa.txt',64944126,2-3 resistor-puzzle,3,
2013-03-21_14-52-37_89pvauhne8vu9b49ufu7tv032u_s98mnb6i4eavut9b8phvsialkq4.txt',66362122,1 light bulbs,1,
2013-03-21_15-39-34_89pvauhne8vu9b49ufu7tv032u_sempsq1s0nf6mdp9cehguhkcm3p.txt',66362122,2-3 resistor-puzzle,2,
2013-03-20_16-21-35_89pvauhne8vu9b49ufu7tv032u_stnrl2ptufodm4dpfph1le2qaq8.txt',66472128,1 light bulbs,1,
2013-03-20_16-53-31_89pvauhne8vu9b49ufu7tv032u_sonr4h3f40mvcs029m76dld28pa.txt',66472128,2-3 resistor-puzzle,2,
2013-07-10_10-14-17_1oe1899cen7i62tokeeuceqvda_ssttgjsa0rv5o6tkndc9t5v56nn.txt',66828119,1 light bulbs,1,
