studentID	condition	subject	video	cumulative watched	fraction watched	fraction rewatched	number of 2 sec segments	moused over filmstrip	clicked filmstrip	enlarged filmstrip	highlighted in subtitleviewer	highlighted from video	highlighted total	played highlights	searched	clicked subtitleviewer
11540808-60-6E-1F-12-F3.xml	2	CS	4_Programming7SegmentDisplays.mp4	219	1.0	0.028	None	0	0	0	0	0	0	0	0	0
11540808-60-6E-1F-12-F3.xml	2	CS	7_DAQReview.mp4	551	1.0	0.182	None	0	0	0	0	0	0	0	0	0
11540808-60-6E-1F-12-F3.xml	2	CS	6_AnalogRead.mp4	397	1.0	0.224	None	0	0	0	0	0	0	0	0	0
12,59,8952-10-B3-71-7B-B2.xml	1	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
12,59,8952-10-B3-71-7B-B2.xml	1	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
125764c0cecde7d5c1.xml	1	PHI	JJ Thomson, Bystander at the Switch and Loop Trolley Problems.mp4	391	0.997	0.0	None	0	0	0	0	0	0	0	0	0
125764c0cecde7d5c1.xml	1	PHI	JJ Thomson, 'fat man' trolley problem.mp4	316	1.0	0.0	None	0	0	0	0	0	0	0	0	0
125764c0cecde7d5c1.xml	1	PHI	Philippa Foot, Trolley Driver and Transplant Problems.mp4	362	1.0	0.0	None	0	0	0	0	0	0	0	0	0
12BC-AE-C5-78-67-1C.xml	2	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	46	0.039	0.0	None	10	5	0	0	0	0	0	0	0
12BC-AE-C5-78-67-1C.xml	2	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
14400620-47-47-C7-5B-9C.xml	1	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	1368	1.0	0.295	None	133	7	0	0	0	0	0	0	3
14400620-47-47-C7-5B-9C.xml	1	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	1766	0.91	0.028	None	13	5	0	0	0	0	0	0	3
165626acbc327ae0ef.xml	1	CS	5_PausingProgramsWithSleep1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
165626acbc327ae0ef.xml	1	CS	8_DAQSimulatorDemo1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
165626acbc327ae0ef.xml	1	CS	3_SevenSegmentDisplays.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
